link,full_name,price,year,mileage_km,fuel_type,location
https://www.autovit.ro/autoturisme/anunt/skoda-octavia-combi-2-0-tdi-dsg-ambition-ID7Hsd9v.html,Skoda Octavia Combi 2.0 TDI DSG Ambition,17 589,2021,158 531 km,Diesel,Otopeni (Ilfov)
https://www.autovit.ro/autoturisme/anunt/dacia-duster-tce-130-2wd-gpf-prestige-ID7HuuQh.html,Dacia Duster TCe 130 2WD GPF Prestige,12 500,2020,107 000 km,Benzina,Cluj-Napoca (Cluj)
https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-variant-2-0-tdi-scr-dsg-business-ID7HtVlE.html,Volkswagen Passat Variant 2.0 TDI SCR DSG Business,17 990,2018,133 498 km,Diesel,Tunari (Ilfov)
https://www.autovit.ro/autoturisme/anunt/mercedes-benz-a-180-cdi-blueefficiency-ID7Hu07l.html,Mercedes-Benz A 180 CDI (BlueEFFICIENCY),11 200,2015,158 594 km,Diesel,Ramnicu Valcea (Valcea)
https://www.autovit.ro/autoturisme/anunt/peugeot-3008-1-6-bluehdi-fap-eat6-stt-active-ID7HutEL.html,Peugeot 3008 1.6 BlueHDI FAP EAT6 STT Active,15 000,2017,239 720 km,Diesel,Uricani (Iasi)
https://www.autovit.ro/autoturisme/anunt/bmw-x1-sdrive18d-ID7HrWQh.html,BMW X1 sDrive18d,8 499,2013,207 000 km,Diesel,Sacalaz (Timis)
https://www.autovit.ro/autoturisme/anunt/ford-focus-1-0-ecoboost-active-business-ID7Husby.html,Ford Focus 1.0 EcoBoost Active Business,14 449,2022,82 709 km,Benzina,Otopeni (Ilfov)
https://www.autovit.ro/autoturisme/anunt/bmw-seria-5-530e-ID7Huq4v.html,BMW Seria 5 530e,19 990,2019,194 277 km,Hibrid Plug-In,Oradea (Bihor)
https://www.autovit.ro/autoturisme/anunt/land-rover-range-rover-evoque-ID7HtGjc.html,Land Rover Range Rover Evoque,14 989,2016,130 000 km,Diesel,Bucuresti (Bucuresti)
https://www.autovit.ro/autoturisme/anunt/volvo-xc-60-d4-summum-ID7Huvbc.html,Volvo XC 60 D4 Summum,14 890,2015,199 000 km,Diesel,Bacau (Bacau)
https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-1-2-tsi-comfortline-ID7HoAmX.html,Volkswagen Golf 1.2 TSI Comfortline,6 999,2013,199 000 km,Benzina,Sacalaz (Timis)
https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-ID7HqKrX.html,Volkswagen Passat,11 999,2018,122 000 km,Benzina,Sacalaz (Timis)
https://www.autovit.ro/autoturisme/anunt/seat-exeo-st-2-0-tdi-cr-ecomotive-style-ID7Hus5e.html,Seat Exeo ST 2.0 TDI CR Ecomotive Style,5 350,2010,287 583 km,Diesel,Otopeni (Ilfov)
https://www.autovit.ro/autoturisme/anunt/kia-sportage-2-0-crdi-awd-aut-vision-ID7HtjA9.html,"Kia Sportage 2,0 CRDI AWD Aut. Vision",18 450,2017,143 000 km,Diesel,Otopeni (Ilfov)
https://www.autovit.ro/autoturisme/anunt/volvo-xc-60-ID7Huq4j.html,Volvo XC 60,13 990,2014,255 894 km,Diesel,Nicolae Balcescu (Bacau)
https://www.autovit.ro/autoturisme/anunt/volvo-xc-40-t2-essential-aut-ID7HrRHl.html,Volvo XC 40 T2 Essential Aut.,19 499,2021,207 331 km,Benzina,Ramnicu Valcea (Valcea)
https://www.autovit.ro/autoturisme/anunt/opel-astra-sports-tourer-1-2-turbo-business-edition-ID7Hus8p.html,Opel Astra Sports Tourer 1.2 Turbo Business Edition,9 850,2020,176 390 km,Benzina,Otopeni (Ilfov)
https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-gte-ID7HkNwf.html,Volkswagen Passat GTE,18 190,2018,147 519 km,Hibrid Plug-In,Tunari (Ilfov)
https://www.autovit.ro/autoturisme/anunt/mitsubishi-asx-ID7Hrb3Z.html,Mitsubishi ASX,11 500,2016,190 000 km,Benzina,Arad (Arad)
https://www.autovit.ro/autoturisme/anunt/ford-fiesta-1-5-tdci-active-ii-ID7HoSDO.html,Ford Fiesta 1.5 TDCi Active II,7 749,2019,217 366 km,Diesel,Otopeni (Ilfov)
https://www.autovit.ro/autoturisme/anunt/renault-captur-e-tech-plug-in-160-intens-ID7HrSP4.html,Renault Captur E-TECH PLUG-in 160 INTENS,17 999,2021,104 700 km,Hibrid Plug-In,Magurele (Ilfov)
https://www.autovit.ro/autoturisme/anunt/honda-honda-e-154-cp-advance-ID7Huv7L.html,Honda Honda e 154 CP Advance,17 900,2020,47 487 km,Electric,Chiajna (Ilfov)
https://www.autovit.ro/autoturisme/anunt/renault-megane-grandtour-energy-tce-115-start-stop-bose-edition-ID7HtG3V.html,Renault Megane Grandtour ENERGY TCe 115 Start & Stop Bose Edition,5 989,2013,189 000 km,Benzina,Catelu (Ilfov)
https://www.autovit.ro/autoturisme/anunt/mercedes-benz-gla-220-d-4matic-7g-dct-activity-edition-ID7Hus6E.html,Mercedes-Benz GLA 220 d 4Matic 7G-DCT Activity Edition,17 800,2016,95 487 km,Diesel,Otopeni (Ilfov)
https://www.autovit.ro/autoturisme/anunt/skoda-superb-combi-2-0-tdi-dsg-active-ID7HrJfM.html,Skoda Superb Combi 2.0 TDI DSG Active,17 999,2021,138 100 km,Diesel,Magurele (Ilfov)
